GLOBAL LIQUIDITY RANKING REPORT
================================================================================================================
Rank  Car Name                                                         Volume       Mean Price         CV  Liquidity
  69  کیا / سراتو / 2.0 لیتر اتوماتیک                                      96    4,682,260,417     0.1800     3.0728
  70  پژو / 207 / اتوماتیک TU5                                             92    1,731,391,304     0.1202     3.0715
  71  فونیکس / آریزو 6 جی تی (Z6 GT) / اکسلنت                              90    5,005,683,333     0.0957     3.0683
  72  سمند / سورن / پلاس EF7 دوگانه سوز                                    88    1,992,159,091     0.0699     3.0652
  73  لوکانو / L8 / 2.0 لیتر توربو                                         86    9,069,069,767     0.0439     3.0620
  74  کی ام سی / ایگل / 1.5 لیتر                                           90    2,767,933,333     0.1164     3.0599
  75  فولکس / تی راک / 1.5 لیتر توربو                                      85    8,195,529,412     0.0400     3.0566
  76  نیسان / ترا / اکسکلوسیو                                              86   10,815,116,279     0.0613     3.0550
  77  پراید / 151 / SE                                                     89      966,842,697     0.1126     3.0549
  78  رنو / تالیسمان / E3                                                  86    7,436,395,349     0.0872     3.0447
  79  تارا / اتوماتیک V2 / اتوماتیک                                        83    2,180,361,446     0.0489     3.0389
  80  تیبا / هاچ بک / EX                                                   85      890,094,118     0.1042     3.0309
  81  هیوندای / النترا / 1.8 لیتر                                          82    4,399,390,244     0.0592     3.0276
  82  پژو / 405 / GLX دوگانه سوز                                           91      745,296,703     0.2424     3.0161
  83  کیا / اپتیما / 4 سیلندر ساده                                         83    6,266,554,217     0.1126     3.0135
  84  ب ام و / سری 5 سدان / 528i                                           83   13,950,000,000     0.1492     2.9988
  85  بی ای سی / X3 PRO / 1.5 لیتر                                         82    3,178,670,732     0.1429     2.9941
  86  هوندا / HR-V eHEV / 2.0 لیتر                                         78    8,051,564,103     0.0732     2.9924
  87  جک / S5 / 1.5 لیتر اتوماتیک                                          77    3,755,909,091     0.0615     2.9894
  88  ام وی ام / X22 PRO / دنده ای                                         77    2,465,194,805     0.0774     2.9831
  89  دنا / معمولی / دنده ای                                               78    1,475,435,897     0.0999     2.9817
  90  فونیکس / آریزو 8 (Z8) / اکسلنت                                       76    6,706,513,158     0.0695     2.9785
  91  دیگنیتی / پرایم / اتوماتیک                                           75    4,462,600,000     0.0737     2.9690
  92  چری / آریزو 5T / IE                                                  74    3,120,675,676     0.0708     2.9622
  93  پژو / 207 / دنده ای TU5P                                             73    2,046,739,726     0.0615     2.9578
  94  کیا / اسپورتیج / 4 سیلندر توربو                                      72    9,234,444,444     0.0434     2.9569
  95  سمند / سورن / پلاس EF7 بنزینی                                        74    1,713,918,919     0.0898     2.9546
  96  نیسان / قشقایی / تک دیفرانسیل آنر                                    71    7,404,774,648     0.0502     2.9459
  97  مزدا / 3 وارداتی / 2.0 لیتر پریمیوم                                  72    7,796,333,333     0.0781     2.9430
  98  ب ام و / X4 / 28                                                     76   18,824,473,684     0.1650     2.9403
  99  تویوتا / لوین هیبرید / 1.8 لیتر ساده                                 72    6,349,263,889     0.0917     2.9376
 100  هیوندای / توسان / 2.0 لیتر دو دیفرانسیل                              71    7,021,971,831     0.0751     2.9359
 101  رنو / ساندرو استپ وی / اتوماتیک                                      73    2,778,589,041     0.1429     2.9253
 102  تویوتا / راوفور / 2.5 لیتر دو دیفرانسیل                              81   11,191,234,568     0.3072     2.9212
 103  تویوتا / کمری هیبرید / 2.5 لیتر پریمیوم ادیشن                        71   12,567,198,592     0.1252     2.9159
 104  رنو / کولیوس / اتوماتیک                                              73    8,067,945,205     0.2136     2.8970
 105  تویوتا / وایلدلندر / 2.0 لیتر AWD لاکچری پلاس                        68   11,809,411,765     0.1203     2.8923
 106  ب ام و / X2 / sDrive 25i                                             69   18,201,594,203     0.1423     2.8922
 107  کی ام سی / SR3 / 1.6 لیتر                                            77    3,069,909,091     0.3258     2.8837
 108  تارا / دنده ای V1 / دنده ای                                          64    1,850,812,500     0.0561     2.8822
 109  اطلس / دنده ای / تیپ G                                               63    1,443,920,635     0.0488     2.8758
 110  ب ام و / iX1 / eDrive 25L                                            63   11,323,015,873     0.0530     2.8741
 111  فونیکس / تیگو 7 پرو / اکسلنت                                         62    4,544,838,710     0.0455     2.8677
 112  فیدلیتی / پرایم / تیپ 2 هفت نفره                                     62    4,530,935,484     0.0723     2.8570
 113  فیدلیتی / پرایم / تیپ 1 پنج نفره                                     62    4,397,645,161     0.0784     2.8545
 114  فردا / 511 / اتوماتیک                                                62    2,559,838,710     0.0854     2.8517
 115  فولکس / آی دی یونیکس / اولترا                                        63    9,225,396,825     0.1122     2.8504
 116  هیوندای / النترا / 1.5 لیتر                                          62    6,560,096,774     0.1067     2.8432
 117  بنز / کلاس C / C200L                                                 61   19,200,754,098     0.0852     2.8422
 118  فیدلیتی / الیت / تیپ 2 هفت نفره                                      60    5,332,250,000     0.0621     2.8417
 119  آریسان / 2 / دنده ای                                                 61    1,508,196,721     0.1003     2.8362
 120  پراید / 111 / SE                                                     62      741,290,323     0.1253     2.8358
 121  ام وی ام / X22 PRO / اتوماتیک IE                                     58    2,478,793,103     0.0577     2.8234
 122  تویوتا / فرانت لندر هیبرید / 2.0 لیتر                                60    8,365,000,000     0.1201     2.8185
 123  پژو / پارس / دوگانه سوز                                              63      992,825,397     0.2156     2.8091
 124  هیوندای / وراکروز / اتوماتیک                                         59    7,717,288,136     0.1227     2.8075
 125  ریسپکت / پرایم / تیپ 2                                               56    3,652,678,571     0.0565     2.8032
 126  بنز / کلاس C / C200                                                  61    8,956,393,443     0.2034     2.7949
 127  اکستریم / VX (QX) / 2.0 لیتر توربو                                   57   10,662,192,982     0.1090     2.7927
 128  سمند / LX / EF7 دوگانه سوز                                           61    1,033,409,836     0.2185     2.7889
 129  تویوتا / راوفور / 2.5 لیتر دو دیفرانسیل ادونچر                       54   16,136,296,296     0.0445     2.7866
 130  کیا / ریو (مونتاژ) / دنده ای                                         59      849,915,254     0.1780     2.7854
 131  تیگارد / تیسان S05 / 1.5 لیتر توربو                                  56    3,911,517,857     0.1026     2.7848
 132  تویوتا / راوفور / 2.0 لیتر تک دیفرانسیل                              54    9,320,000,000     0.0537     2.7829
 133  سانگ یانگ (KGM) / تیوولی / 1.6 لیتر الیت                             55    4,261,363,636     0.0808     2.7829
 134  هیوندای / آزرا (گرنجور) / 6 سیلندر                                   62    5,372,225,806     0.2607     2.7816
 135  چانگان / CS 35 پلاس / تیپ 3                                          55    4,877,636,364     0.0842     2.7815
 136  ب ام و / X3 / 28                                                     60   10,941,666,667     0.2157     2.7802
 137  کیا / اپتیما / 4 سیلندر GT لاین                                      56    8,966,428,571     0.1146     2.7800
 138  رنو / مگان (مونتاژ) / 2000                                           61    2,287,540,984     0.2437     2.7788
 139  هیوندای / اکسنت (مونتاژ) / اتوماتیک                                  54    4,034,259,259     0.0642     2.7787
 140  سوزوکی / گراند ویتارا (مونتاژ) / 2.4 لیتر اتوماتیک                   58    4,465,517,241     0.1941     2.7689
 141  فولکس / تیگوان / اتوماتیک                                            54    7,993,703,704     0.1020     2.7636
 142  چری / تیگو 7 / IE                                                    52    3,682,115,385     0.0631     2.7569
 143  نیسان / سیلفی e-POWER / مکس ادیشن                                    51    7,461,372,549     0.0356     2.7565
 144  ری را / 1.7 لیتر توربو / 6 سرعته اتوماتیک                            51    3,503,235,294     0.0489     2.7512
 145  کوییک / SR / دنده ای                                                 51    1,190,784,314     0.0577     2.7476
 146  تویوتا / پرادو دو در / 4 سیلندر                                      57   12,346,842,105     0.2250     2.7463
 147  زامیاد / وانت نیسان / دوگانه سوز                                     55    1,715,418,182     0.2056     2.7330
 148  ساینا / EX دنده ای / دنده ای                                         50      893,300,000     0.0744     2.7293
 149  هایما / S7 / 1.8 لیتر توربو پلاس                                     49    3,921,224,490     0.0447     2.7293
 150  نیسان / سیلفی e-POWER / پلاس                                         49    6,977,551,020     0.0464     2.7286
 151  شاهین / GL دنده ای / دنده ای                                         49    1,967,346,939     0.0807     2.7149
 152  کیا / سراتو (مونتاژ) / 2.0 لیتر ساده                                 48    3,455,833,333     0.0573     2.7122
 153  هایما / 8S / اتوماتیک                                                49    4,680,553,061     0.0992     2.7075
 154  رانا / پلاس / موتور TU5 پلاس                                         48    1,776,208,333     0.0690     2.7075
 155  اپل / موکا / 1.2 لیتر توربو                                          52    9,172,500,000     0.1949     2.7042
 156  کیا / K5 / 1.5 لیتر توربو                                            50   10,074,192,000     0.1383     2.7038
 157  پژو / 206 / تیپ 6                                                    50    1,084,120,000     0.1583     2.6958
 158  دنا / پلاس EF7 / 6 دنده توربو                                        47    2,165,680,851     0.0696     2.6949
 159  تویوتا / کمری هیبرید / 2.5 لیتر LE                                   46   14,065,217,391     0.0795     2.6783
 160  نیسان / ماکسیما / اتوماتیک                                           54    4,176,240,741     0.3218     2.6757
 161  تویوتا / لندکروز چهار در / 6 سیلندر 4.0                              54   30,218,333,333     0.3224     2.6754
 162  فونیکس / تیگو 8 پرو / پرمیوم                                         46    5,795,434,783     0.0868     2.6754
 163  تانک / 500HEV / 2.0 لیتر توربو                                       45   19,126,666,667     0.0605     2.6730
